Q7Z444 Q9P2M4
P42765 P0DN24
Q13163 Q14974
P05109 I0J062
P32242 Q96N11
O60294 P51530
Q6P988 Q9UII2
P33778 Q9NVI7
P52732 Q6W349
Q8IYR0 Q86T96
Q17RN3 Q969J3
Q9HCH5 Q6ZNA1
Q5T619 O75071
Q9H765 Q5W0U4
Q6IB77 O75398
O15372 Q06732
Q8WYJ6 Q6FIF0
Q76G19 Q86Y46
Q6ICG8 Q9P2Y5
Q8NB50 Q6ZTW0
Q9UI12 Q96DW6
Q8IXF0 O95503
Q8N8K9 P23409
Q68EM7 P47895
Q8NBJ4 P62508
P21549 Q15583
Q9UDX3 Q96CS4
Q8IY26 Q8TAG9
Q9GZW5 O75380
Q02548 Q99717
Q13515 Q9H2A3
Q92782 P29590
Q8N4L8 Q96LX8
Q9Y3B9 Q9Y2L1
O43776 O95302
Q7KZF4 P14317
Q9Y5K1 O75319
Q6ZT98 Q9NXU5
O75110 Q96EQ8
A5D8V7 Q96BQ3
Q86XT4 Q92574
Q2TB18 P40222
Q86WT6 Q6NVV1
O00213 P17858
Q9ULC3 Q9HAW0
P01116 P01111
Q8N123 Q9BZJ0
Q8ND76 Q9NUZ1
O43312 A6NCF5
P53667 Q99440
Q9UPV7 Q9BZR8
Q9H6Y7 P30153
Q9NRX2 Q6ZQY3
Q9Y6F6 Q969H4
P15848 Q6B0B8
Q8TBB1 Q96GE4
C9JJ37 Q14653
P55060 Q99969
Q7L4E1 Q92556
Q96JK9 A6NNH2
Q9UGM6 Q9UNZ2
Q5VWK0 Q5EBN2
Q8IX90 Q12765
Q8WV99 Q9NZ08
Q5JWF8 Q9HDD0
P0CW01 O94832
Q96EQ8 Q14584
Q96B26 Q12959
Q9Y6Q2 Q08999
O43581 Q6ZSR9
Q13043 Q8IUZ5
O43776 Q8WV07
P12980 Q96N68
Q5T292 Q9NR56
Q13200 Q9BXS6
Q92526 Q96NC0
P46199 Q8WWF5
Q9UHW5 Q5XKP0
Q9NTG7 Q9UJQ1
Q659A1 Q96DU7
Q6ZTW0 Q9UL15
Q9NQG5 Q6P1L6
Q6P0N0 P08493
P04628 Q9BRQ6
Q6RW13 Q16633
Q9P2Y5 Q9Y2Y0
P0DP23 P52732
O94810 Q9NZJ5
P17483 G9CGD6
Q96CV9 P67936
Q9UI10 Q14164
Q96FW1 Q96EM0
P83436 P62304
Q5SVZ6 Q13886
Q9BUJ2 P52758
O95243 P20340
Q5T2W1 Q9Y225
Q8NA56 Q99418
Q14444 P09769
Q6P597 Q99759
P16403 Q8WUS8
Q6ZMV9 Q5JST6
Q6UW49 Q5JVL4
P07305 P09493
Q15554 Q14289
Q06889 Q6P179
P30626 Q8TF64
Q8WTW4 Q99259
O94880 C9JTQ0
Q86XT4 Q8N307
Q5QGT7 Q01954
Q86TM3 P63126
P67775 P38919
P28749 Q9HAZ1
P0CG31 P51878
P54793 Q96RR4
Q9UNW1 Q8N5Q1
P11233 Q96HB5
Q03936 Q9Y616
Q9Y316 Q86VD1
Q03060 Q5SWW7
Q9Y4A8 Q05195
Q9C056 Q9Y6B7
Q8NEL9 Q8TCE9
Q86XN7 Q68DD2
Q9H8G2 P49418
O75460 O14980
Q9BQ90 P78417
Q7L3S4 A6NKF1
O75333 Q96PQ5
Q96CP6 Q02535
Q504Y2 Q9BWW9
Q9Y312 Q6ZNX1
Q96TA1 Q3SY69
Q8IZA3 O60645
Q8TCG2 Q8N884
P82673 O94880
Q14CX7 O00743
Q8N8P6 Q68D51
Q9BRU2 P19793
P35610 Q86WN1
Q9NX74 Q96D53
Q96DX7 P51649
Q8N442 P35240
P01571 Q8N300
P83436 Q05086
P19367 Q14181
A0A087X1C5 Q9NZ08
Q8IZ07 Q15386
Q86YE8 Q86YD1
P54750 Q8TF08
Q8IUQ4 Q9HAQ2
Q07866 Q05315
Q9H0W5 Q8TBZ6
Q5BKY9 Q86Y25
Q4V328 Q9H496
Q7Z6B7 Q9NQC7
P17655 Q9Y2P0
Q9NSP4 Q9P2F9
A6NMD2 Q9BXG8
Q8IXL7 Q8IYQ7
Q6PI98 Q8NET8
P09017 A6QL63
Q9NZN8 Q9UQ84
Q96ED9 A0A1B0GTQ4
Q8N5C1 Q5VWP3
Q9BTA9 O95872
Q8WXF5 Q96DX4
O75496 O95747
A4D250 Q12929
Q16637 O60732
Q92698 O94880
Q8N6V4 Q93086
Q96KN3 O15391
Q8IVP9 Q14232
P61550 Q9Y2G7
Q86YW0 A0A087WXS9
Q96FF9 Q9P035
Q9H6W3 P25440
Q6Q6R5 Q9H0C2
Q8WU10 Q13617
P17861 Q969V5
P56693 P0C7H9
Q4G0A6 Q7Z3Y8
Q03701 Q6ZSY5
P08151 Q5U649
Q8N7R7 Q9BRC7
Q330K2 P05129
O60313 A6NGY3
B1AMM8 Q86YR7
Q14141 Q9BQA5
P56270 Q9P2W3
Q03828 P23677
P22059 Q8N1F7
A6NI28 Q6ZN57
Q9Y6X8 P23297
Q9UBT6 P02538
O75343 Q6QN14
Q59H18 Q8N635
P48443 P46109
A6NFZ4 P98082
Q13153 Q05639
P0CG31 O14503
Q5SVS4 O75030
Q13617 Q96LW9
Q9H9L4 O14737
Q15545 Q9HCE7
Q8NCN2 Q8NAC3
Q64ET8 Q6NVY1
Q14588 P34949
Q6RUI8 Q96PF2
Q96SF2 Q96MM3
Q9NNX1 I6L899
P00439 Q13049
P17861 Q96HR8
Q7KZF4 Q9BZK3
P36915 Q9H2D1
Q96GY0 Q99633
Q96P64 Q14168
Q9UHQ7 Q6ZVM7
Q5BJE1 Q8IVH4
Q8N7C7 P23769
Q9NX63 Q9NPD8
Q8TAA3 O43913
Q14693 Q9UKV5
P28749 Q5TGL8
Q9P1G2 Q4G0N4
P63220 O94992
Q53GL7 P40123
Q96JM7 A6NI72
Q9Y235 Q969G3
P09629 O95822
P27037 Q8TDB6
Q6ZTZ1 Q86Y56
Q9UKD2 Q5R372
O60683 Q96KD3
Q8WVV4 O95947
Q96A47 Q96DX7
Q96IQ9 Q8TAC9
P57682 Q9BQE5
Q7L1Q6 Q9NPC6
O43252 B4DZS4
Q6ZVM7 O75628
Q9UKD1 Q008S8
B7ZC32 Q99946
P19474 Q4G112
P35558 P57086
Q9UK12 O95780
Q6PH85 Q2M3D2
Q9H8H2 P58005
P59103 P62745
Q96IL0 Q8IUI8
Q8IUZ5 Q9NR50
Q8NC26 Q6P2C8
Q70HW3 Q8IXS8
Q9BYR8 O75936
Q8NE22 F5GYI3
Q9BYR7 Q9GZT8
Q8TD16 Q96PX1
P19526 Q96N95
Q8NG48 A1IGU5
Q96KP6 O14773
P43356 Q8N6Y0
P56945 Q9C0D6
Q8NC74 Q6VN20
Q9Y614 Q9NP72
Q96I99 O95600
Q66K74 Q96IR2
Q7L3B6 Q9UBB5
P59923 Q8IV20
Q969W0 Q9BWX1
Q6ZMV5 Q9NWS9
A6NE82 Q8NDF8
Q9BV68 Q6NX45
Q13526 O75496
P30566 O75626
Q08623 Q9UBL3
Q96MF0 P52758
Q9Y3F1 Q9P0S2
P08779 Q86U38
Q96N16 Q10981
P27448 P57075
P36915 Q9NWM0
P0CJ85 Q86YJ5
Q96PC3 Q8N8N0
O94782 O60895
O60519 O00463
Q9NZQ0 O75764
O75604 Q9NQR1
Q8IXS6 P20936
Q92753 Q9Y5X2
Q12840 Q00839
P0CG24 P09622
Q2KHM9 Q14894
P54257 Q9BYV6
Q8NBZ7 Q9UI10
Q5VW32 Q9P2E2
Q86XP3 Q53QZ3
Q8NET6 O00442
Q4G148 Q6ZMZ3
P52294 P35251
Q8NE31 Q7Z2W4
Q9GZV5 Q2TBE0
Q9HAW0 O75251
O43143 Q9Y6H1
Q6ZRF8 P23497
Q7Z5R6 P07320
Q8NA66 P61204
A6NNT2 Q9Y255
Q9UBL6 Q93045
P82673 Q14774
P61289 Q92619
Q96B45 Q9P2H5
Q9H0C5 P61916
P08263 Q8NBT2
O95678 Q8N815
P10074 Q08379
Q9C019 Q8IY37
Q16539 Q2M243
Q5H913 P16118
Q5T2W1 O43823
Q8ND90 Q8TAM1
Q96LZ2 P55209
Q9H0G5 Q9UQ10
Q6ZS72 Q5BKU9
Q96C34 Q96LW1
Q9BUL5 Q9BPZ7
Q9NXU5 Q01449
Q9UNT1 Q9H3M9
Q8IYU8 Q9UJY5
Q8N8V4 Q5VWG9
O95081 O60906
Q8IZI9 Q9NUY8
Q9UGP4 P07947
Q9NT22 Q2M5E4
P09497 Q96IV0
Q04206 Q8NG68
Q9UH17 Q9Y572
Q9H496 Q8TCN5
Q8N6N6 Q86UV5
A2RU54 Q96MI9
Q9NS56 Q9BV97
P35638 Q3LFD5
Q09MP3 P17544
Q5SQQ9 O75956
Q13064 Q3SY17
Q14587 Q92539
Q8IZL2 Q8TCS8
O14745 Q70SY1
Q9NYJ1 Q7Z5R6
Q8N8H1 Q9ULX5
Q96PT3 Q5T5M9
Q9BSG1 Q14376
Q86Y37 Q7RTV2
P26641 P09382
Q96JB8 P61081
Q96MK3 Q9BZM2
P35241 O94776
Q9UJN7 O43913
O75678 Q00536
Q08495 Q9P2F5
Q9UBV4 O95395
Q9UBD9 O95081
P60608 Q96QS3
Q92882 P50876
O43741 Q8N8X9
Q8N4F7 Q8WYN0
Q5BKX8 Q96H79
Q9NRF2 Q9NZN4
Q9NUD5 Q9H1D0
Q86Z20 Q02252
P47974 P16415
O14593 Q99460
Q6ZTU2 Q16526
O95677 Q86Y07
Q9H300 Q8WXI4
O43395 Q8NBP7
Q96A08 Q6ZNG9
Q5EBL4 P28330
Q9NRP4 P36888
P31249 Q4G0F5
Q9P2S6 Q01523
P15374 Q8N556
Q6P435 P09972
Q13523 Q8N998
Q5TF21 Q9NSY1
Q8IZP0 Q5TFG8
Q86YS6 P30307
P0DME0 O95935
Q9YNA8 Q9BVG8
O75563 Q9UK45
Q9BQ48 Q14566
P62068 Q4V328
Q8N554 O60264
Q9BRK5 Q9H7J1
Q53GL0 O75832
Q8IYJ3 Q86XS8
Q9UJV3 O15117
Q9NQ87 Q86UQ0
Q86YJ7 Q9NXF7
Q9Y5T5 O94763
Q53GA4 O00212
Q9NRB3 Q9H6L4
Q9H488 Q86WA8
P50613 Q7Z340
Q9HAB8 Q8TAT2
Q14264 Q96HE8
Q06265 O43741
Q02108 Q9NRH1
Q9UEE9 Q8N883
Q9UHD8 Q9H7X3
Q5TC12 A6NEV1
Q9BZF1 P30419
A8MTA8 Q9NPA3
Q5VXD3 A0A087X1C5
A8MW99 P27540
Q6PK04 O00623
Q9BV36 Q9BYV2
P67870 Q6ICG8
O75808 Q00987
P01215 P25791
Q5HY92 Q7Z5L9
Q9NWU2 P50876
P63211 A1KXE4
P35452 Q9UJU3
Q9GZX5 O15460
Q13952 O00571
P0DMV9 Q13506
Q9UQ88 Q8TC84
Q8N5C8 A5LHX3
Q9BTA0 Q01973
Q06730 Q53ET0
Q9NWY4 Q8IVH4
P11310 Q96S55
Q99456 Q6P3W6
Q9H6Q3 P62875
Q86Z20 Q8N1L4
Q76KX8 Q92502
O43572 P50897
Q6NUM6 Q8IU81
Q9H832 Q9NRF2
Q5VYM1 Q9UNY5
Q03701 O95263
Q9BV35 P0DMU3
P53667 O43298
Q9NYN1 Q16514
P58872 Q96D05
P26439 Q92837
P78368 P31040
O75052 O14492
P05186 Q7Z4Y8
Q2M5E4 Q92565
Q9NRF2 Q9NP56
Q16644 Q9NRW1
O43196 F8VTS6
Q14974 Q9UJU6
A6NCS4 Q96IU2
Q9P2G9 P51153
Q16877 Q9P2W9
O14682 Q6JEL2
Q9NZA1 Q9Y6G9
Q16566 Q9NUG6
Q9UBS8 P40424
P43378 P50553
P13349 Q8N123
Q92748 Q8IXQ8
O00487 Q9NQZ6
O14920 A9YTQ3
Q6P996 O43707
Q6YP21 O95625
Q99551 O14867
Q9NYF3 P31260
O60266 Q96DX4
Q9NP08 Q9BY32
Q9UMS6 Q92540
Q68D86 Q2M243
Q9P1W9 Q5VUJ9
Q8IUI4 A6NCN2
Q8WY50 P52742
Q86T24 Q12959
Q8IUC3 Q6UXB2
Q92800 P78549
Q8TAD8 Q12934
O15212 O95096
P45381 Q15431
P78347 Q9NUW8
P43246 P20248
O43150 Q6ZN30
Q9UIW0 P35557
Q6ZTA4 Q9Y6Y8
Q9Y6H1 P0CW23
Q86V97 Q9UHV8
Q96GI7 Q9NY47
O95398 P49642
Q9BWC9 Q7RTV3
Q7LG56 Q92572
Q9BXS5 Q5SQS7
Q93050 P33176
O15460 Q9Y473
Q8TEL6 Q86XU0
Q6ZP68 Q96NK8
Q7Z2Z2 Q92925
P51659 P63120
Q86V59 Q9NUY8
Q9BUJ2 Q9UHQ7
Q14166 Q96KD3
P49366 Q8NHS4
O43361 Q08289
O75631 O43812
Q96GE4 Q8N371
Q8IYS4 O00444
A8MTQ0 A8MT19
O94851 Q9H147
Q9Y6R0 Q99961
P23280 Q9NVI7
O43252 Q8N653
O75795 Q5H9J9
Q8TAV3 Q05DH4
Q7LFL8 Q12905
Q8NBZ7 P49588
O60481 Q04743
Q9UD57 Q9UBF8
Q9H3R5 P12074
Q3SY77 Q32M84
O15212 O95947
Q15139 Q9HD36
Q12824 Q9NTK1
Q6ZN57 Q5VVQ6
P54840 P32456
Q9H7Z7 Q15025
P25490 Q9UBX2
O75071 Q9NVX0
Q5XLA6 Q9BT76
P32320 Q7L099
P40692 Q3SXZ3
Q96F15 Q7Z2X4
P13637 Q8N9V6
O95292 P51948
Q01524 Q13115
Q3MUY2 Q9BRU2
Q9BYM8 Q8IVI9
Q9H3M9 Q99633
Q96LJ7 Q32M84
P0CAP2 Q5HYI8
Q96JB8 P55055
Q13546 Q6NXT1
Q9UDX4 Q9NRG0
Q6DD87 Q86TW2
Q8N392 Q9NVC6
Q9UQ90 Q9H2U1
O75110 Q6ZQY7
Q9H116 Q99504
P18847 O43865
Q9Y2G4 Q9P2J3
Q96D59 Q8NA47
Q92748 A6NCL7
P63272 O95361
Q8TF05 P11021
Q8N123 Q5W5X9
Q5T5M9 Q16587
Q6PJF5 Q9HAE3
Q9Y547 P80404
P19474 Q15111
P37235 Q7L8J4
Q9P270 P98182
Q9Y283 Q6S5L8
P35680 Q9BST9
O43683 Q8TE96
Q9UJW9 Q9P0N8
Q9UFW8 Q96M98
Q16772 Q13106
Q9UL18 Q5I0X4
O75351 P0C5Y9
P05000 Q9C0B0
Q9UBS8 Q04609
Q8N7X4 Q96S65
Q9NQX0 Q5M775
Q86V42 Q9ULH7
O95154 Q6PG37
Q9UBB4 Q9H7R0
Q8NA58 Q9UKW4
O14617 P17097
P0DMU7 B7Z6K7
Q9NQ86 Q7L0Y3
Q8IWZ5 Q9NPI8
Q8NBZ9 Q9H714
O75881 E5RJM6
B4DX44 Q9UBF2
Q99865 Q9Y5P4
Q9NQ29 Q71U36
Q9Y3T9 Q8IZT9
P36508 Q9C075
Q99878 Q9UJP4
Q9UDY6 Q6DKI7
Q5SVS4 Q96M32
P16333 P05813
A6NJL1 O00442
A1YPR0 Q5TCH4
Q14197 E7ETH6
Q96CN5 Q9H7X3
Q9H981 Q5T5N4
Q5T7N2 Q53H47
Q86SG2 P17029
O43541 A6NGD5
P12956 Q9H165
A6NKP2 O14753
O00264 P23381
O43281 O00471
Q9HCL3 C9JQI7
Q8TEQ0 Q6ZRM9
O75896 Q8N653
O00311 Q9BU20
Q99626 P18859
Q9HAW7 Q8N8C0
B2RXF5 Q86YB7
P20807 Q13263
P0CG30 O15400
Q9H1J5 Q9P0U4
Q9BQE9 Q2NKQ1
P22415 P54855
Q16611 Q96EY9
Q7L0Y3 Q86WR7
P40879 Q9H9E1
O00522 Q99456
P14649 P13637
Q9Y235 Q9Y5Z0
Q96M61 Q9H6Q4
Q9NRW4 Q96M61
Q7LGA3 Q9NVR2
Q5SW24 P83436
Q5JNZ5 Q9H0M4
P55789 P09211
P63145 Q8N3J3
Q9NR81 Q8NBZ7
Q9Y592 Q15375
Q14586 Q6ICB4
Q8N1N4 Q96BW9
Q5VU57 A8MXY4
O43566 Q9NWB7
Q93099 Q96J86
P50995 Q9ULN7
Q9H6K4 Q8IVC4
O43236 Q8TDI7
A6NLJ0 O94832
Q96A32 P53674
Q96HT8 Q86Z20
P0CW20 Q9H609
Q6P1K2 A6NH52
Q15311 Q9Y221
Q53F19 Q9NYM9
P52945 A6NCM1
Q96S99 Q8IUI8
Q9Y3S2 Q5JNZ5
O43298 Q5VXD3
P35080 P25208
Q9BRR3 Q56NI9
Q9BRA0 O75795
Q96LR2 Q9BZE7
Q8N8E3 Q9NV58
Q6PL24 P59768
Q8WVX3 Q96BZ9
Q13838 Q8N159
Q6P2C8 Q9H9V4
Q8NC26 Q9UHV8
Q9Y483 Q14469
Q9HAF1 Q15561
Q96FC9 P78371
P48059 Q8N4N8
A6NH57 Q9BXU7
Q6S5H5 Q14549
Q7L2K0 Q96BK5
Q9BVI0 Q6PKX4
Q96M29 O15528
Q6PIY7 P33260
P01566 Q9NR55
P31040 Q02153
Q9BZA0 Q6GMV1
Q9Y3D7 P17022
Q96MU6 P28161
Q6BDI9 O60583
Q96NE9 P55084
P50749 P53618
Q8IZP7 P43403
Q9Y2V3 Q16543
Q86SE9 Q6ZMV8
P17858 Q9NP79
P10696 O94805
P23109 Q0VGE8
O76094 Q9Y3S2
Q9UMX3 Q9Y576
Q15059 C9JR72
Q96J77 O14910
Q92786 P22748
Q70CQ3 Q99880
P68363 A0PJY2
Q9BW66 Q9HDD0
O95278 A6NCI8
Q86TW2 Q8N328
P23443 Q6PK57
Q6UX39 Q5VZ18
P49642 P49761
Q9NQC8 O95292
Q96J86 Q8N1P7
P27694 P42898
Q9UBC3 P49441
Q15139 Q15329
Q13107 Q9UK45
O14757 P51508
Q6S8J7 Q9Y577
P61296 Q9NRQ5
Q96T92 A2A2Y4
Q5TD94 Q96M02
Q9Y6C9 Q8N6K7
Q96T49 Q8NEH6
P78316 Q6ZUF6
Q9NVV4 P07101
A8MZ59 Q9BX69
Q09FC8 Q9UKW6
Q495C1 Q86YR6
Q96SY0 A6NFZ4
Q9NP85 Q8TCN5
Q8TCC3 P05129
O14772 O43312
O75563 P50570
O00321 Q96KN1
Q96P26 P25963
Q8N0V3 P28070
E5RIL1 Q49AG3
Q86XJ0 Q8N307
Q8IX12 O75794
Q8WZ60 P48436
Q7Z3S7 P78371
A0A1B0GWH4 Q9BV68
D6RF30 Q6SPF0
Q8WUE5 Q9BT78
Q15583 Q9BY43
P53365 Q96EP1
P51692 Q9GZV8
Q8WW27 Q8NC42
Q03013 P17017
P02786 Q9BSJ8
Q15915 Q9H4B7
O94782 Q9UBE0
A5LHX3 Q969L4
Q96LR7 O75912
P0CJ88 Q96I99
P52732 Q99578
O75223 Q9P031
Q8NHY2 Q9NRC9
Q9NQP4 P78314
O60870 Q9GZV8
Q5JPI9 C9JPN9
Q7Z6J0 Q6NUN7
O00559 Q96CX3
Q9BVC6 P50213
Q86TB9 P20823
Q86SH2 Q5VV42
Q9GZZ1 Q66K89
Q9BQ48 Q9NRZ9
P49321 A8MUV8
P62312 P33778
P56851 Q99755
Q15032 Q9Y572
P05109 Q9H832
P16949 P0C7M3
P51959 Q9ULZ2
P17040 P0DO97
C9J1S8 Q13882
O43299 Q96AJ1
Q92997 B9A6J9
Q96N20 O75052
Q96F44 Q9P2G1
Q7RTU4 Q86V40
Q8NAT2 Q9UEU0
Q8TC41 Q53T94
Q5ST30 Q86Y38
Q9NPB0 Q969L4
P58317 A4D250
Q6PJT7 Q9P1Q0
Q00987 Q9UGY1
P28072 Q9NXJ5
Q13268 D6RGH6
O43665 P55055
Q8IXR9 Q9HA72
Q8TCN5 A1A519
Q9Y2X9 P30039
P01570 P21399
O95772 Q9NYS0
P67775 Q9BTA0
Q9BRK5 O00567
A0AVK6 P48735
D6RJB6 P53365
Q96NJ3 Q5VZQ5
Q9NZA1 Q7Z7H3
P17931 Q9H963
Q15776 Q8TCE9
Q99689 O60675
Q96CC6 Q9Y3B7
Q16670 Q8WWF8
Q9BYL1 P36915
Q9H706 Q8N9H8
Q99426 Q9H0M4
Q5T0N5 Q8N5S9
P04040 O60216
A6NJG6 Q02750
Q9NQP4 B5ME19
O75626 Q9Y458
Q9Y5M8 P13378
Q6NX45 O60504
Q6VAB6 Q01432
Q9NRM7 Q3KP44
Q9UK32 A0AVI4
Q8WVX9 Q15311
Q6NZI2 Q86XN6
Q16661 Q4JDL3
Q15170 Q96IL0
Q9P0L0 Q96FW1
Q16831 Q9NYA3
P16150 Q8WV28
Q5MAI5 A6NEL2
Q86W10 Q99969
A4QPH2 Q15742
P13797 Q6NXS1
P33241 A0A096LP49
Q8NBF1 P51693
Q53TS8 Q8TAT5
Q6GMV2 Q13474
Q9UJG1 A6NJG2
Q92785 Q6P3S6
Q96AC1 O15049
Q8N8J6 Q8IY95
Q8IVU9 O95067
P51398 P82979
P0DMB1 Q92565
Q9H4S2 Q8WWH5
A6NGH8 Q9Y4W6
O43353 P04075
Q9UBF6 Q96GC5
Q9Y333 Q49A26
Q6NXP2 P62877
P31947 Q8IZY5
Q9Y4E8 A6NKX1
O95057 Q5FWF5
P09105 P07333
Q96Q11 Q9BVI0
P22455 Q86V40
P51649 Q70YC5
P84085 Q53EL6
P54868 Q8NA54
Q17RP2 P50553
Q86TP1 Q8IYB8
Q9BTY7 Q8NB90
Q16181 Q93063
Q9H9G7 Q8N443
Q9H7C4 Q16610
Q9UBU6 Q6P1K2
Q14149 Q15025
Q9Y574 B4DXR9
Q8TDM0 P46459
A6NK75 P35270
Q9UJV3 P41219
Q8TCN5 Q9BWC9
Q96CF2 Q8NHP1
Q07343 Q8NBJ4
Q5HYJ3 Q8N3E9
P61981 Q9Y620
O95067 Q96PU8
Q8NG48 Q8IXQ8
Q86VE3 Q86UD0
Q9HB65 O43581
Q9UBU6 Q53GL7
Q93063 O95208
O14662 P07333
Q06547 Q6P435
Q68J44 Q9HAB8
O00303 Q15853
Q96N28 Q9C0D4
Q9H9Y4 Q8NCU7
Q8NEG2 P09630
Q96CA5 Q6ZN06
Q16513 Q7L2Z9
Q8N485 P49427
O15211 Q9UJT1
Q96LK0 Q70SY1
P48728 Q96DR7
Q15691 P68104
O96006 Q6ZN17
Q8N9F8 P24385
Q8TEJ3 Q8IY42
Q8N5C1 Q8WTR7
Q9Y619 O14662
Q96FJ0 P07948
O95786 P60059
Q9NVR2 P12271
P60002 Q7Z6B0
P69891 O75935
P08729 Q9H4G0
Q9UBL3 Q9HBH5
Q8TED9 Q92917
O14990 Q00325
Q96ES7 Q5HY98
Q96QC0 Q9H963
P06899 Q9P2A4
Q9H019 Q01433
Q12765 Q8TEX9
P56705 Q8IXL9
Q9P258 P14174
P09919 Q8NBV4
P61086 Q96IK5
O43402 P78371
Q9Y3A2 Q9P0W8
Q9NR12 Q96T17
Q9BXU1 O95045
Q6ZUG5 Q9UBE0
Q5H9L4 Q9P2G4
Q13509 A6NHL2
Q86UX7 P60763
Q96BK5 Q9BYG4
Q8N377 O75071
P35228 Q969E2
Q9P2B7 Q9NP72
P50749 Q96HU1
Q8ND24 Q9H6N6
F5H4A9 Q5T655
Q9Y3E1 Q969T9
P13646 Q16352
Q9UQQ1 Q01826
Q6UX39 Q00994
P10828 P40617
O60504 Q8NER1
Q9NTW7 Q96MM3
O94842 P54709
P46459 A4D1S5
Q5SSJ5 Q13405
Q15633 P0DMU8
Q7Z340 A6NDY2
O14813 P15313
O75800 Q8IWD4
Q9H853 Q13546
Q96NU7 A2RUB6
P07902 Q76KX8
Q96G23 P62310
Q5SXM8 Q7L7V1
Q9NSI8 P22455
Q8IWQ3 Q6NX45
A8MUH7 Q86UA1
Q7Z4U5 Q6ZSU1
Q96AQ6 Q8IWE5
Q96LR7 Q9UBB9
Q66K74 Q96PU8
Q9H4E7 Q06547
Q9UFV1 Q6PF04
Q5JTZ9 Q8NDY4
Q8NBR6 Q5FWF4
Q9BZI1 Q56VL3
Q06730 Q9H0C3
P47895 Q2KHN1
Q04609 Q8N3X1
Q6UXP9 Q8WVZ9
O15492 O14972
Q14134 Q9UL63
Q8IVD9 Q8IUI8
K7EIQ3 Q49MG5
P50443 Q86YD7
P81172 Q9BXI2
Q9ULX9 Q8N184
Q6UWJ1 Q5T5F5
Q69YH5 Q9Y6F9
Q14586 Q8TD55
Q9NRD0 Q9UM82
Q9BSJ5 P61966
Q14872 Q6P4F7
Q16821 Q3KQZ1
Q8NEQ6 P46952
Q8IU60 Q6PEW1
P62699 Q15562
Q6P2H3 Q9Y265
O75553 Q6UX39
Q16254 Q99675
C9JSJ3 Q9HBF4
Q9H0M0 P30520
O95340 P18074
P0DP25 P12838
Q96H12 Q155Q3
Q6ZN54 Q6ZRT6
P20592 P53667
Q9H175 Q96S59
Q9UM19 Q9NP64
P83881 Q02045
Q96IL0 Q8TF64
Q9UBG3 O75792
P24311 Q9H1P3
Q9Y2P0 Q7Z713
Q93015 P08567
Q8IW41 Q6ZMT9
Q6P2D0 P56178
O76080 B6SEH8
P43080 Q8NER1
P35869 P47895
Q8N165 Q8TAP4
Q9UIW0 B2RPK0
Q147X3 Q68CJ9
Q9BZQ8 Q9UNW1
P31277 Q13516
Q9H9E3 Q5M775
P16104 P35998
Q6P3V2 Q8IYS2
Q15121 Q8N448
Q93077 P50238
Q7Z6K4 A6NIU2
A6NF36 Q15642
Q9NRX2 P32321
Q9BW83 Q8WWH5
Q03111 Q8NET5
P17482 P15918
P54826 Q6AZW8
Q9UH77 O14907
Q5SZD1 O14791
P55327 Q9BY27
A8MUM7 Q6ZQY7
Q7RTN6 Q9BZJ4
O95208 Q7Z5R6
P35222 P04181
Q96FS4 Q9NYA3
O14753 Q9Y6N1
O15156 O94887
Q5H9K5 Q99807
Q13123 Q68DL7
Q8NG27 P49789
Q5T9C9 Q6DKI7
Q5M775 Q6GPH4
O43824 Q8IVN3
Q495D7 Q8N7M2
Q9UNS2 Q9Y5W8
P51589 Q15561
P62993 Q86T82
Q06889 Q52M58
P48645 Q9HCQ7
O43772 Q8IZD0
Q8IXH7 Q99717
Q8WVV4 P23527
A1E959 Q99469
P02008 Q92506
Q9P2B4 O60266
Q8NEK8 Q13239
Q9C035 Q8N5C8
Q01581 P60608
Q8N205 Q96E35
Q8IUF1 Q9NQW6
Q96N11 Q9Y6C7
Q3KQV3 Q9HCC6
Q9Y2N7 Q6PIY7
Q0D2H9 P12035
Q86Y82 P09493
Q6ZSU1 P23409
Q3SY84 Q92737
O15211 Q13106
Q8IWZ8 P55916
Q96MY1 Q8IXI1
O75600 Q06124
P0CAP2 P20585
Q13616 Q70UQ0
Q99633 P30533
P05062 P50548
Q99956 O60675
P61020 O95159
Q5JTZ9 Q00059
Q9GZZ7 O76081
Q15024 Q6ZV50
Q8IWU6 Q99689
Q15256 P23109
Q9BWF2 Q5T0L3
Q9HCU9 Q6B0K9
Q99426 Q9BUL5
Q8N8N0 Q13523
Q02833 Q9H7Z6
Q9BZW7 P18206
Q9H7U1 Q7Z353
P0CF97 P28069
Q9P109 Q96BM1
Q07343 O43930
Q8N8B7 Q9BXS6
Q9HC98 P51812
Q9UJQ4 Q8TDZ2
Q5VT33 Q3LI67
Q96GA3 P58304
Q6SA08 O96020
Q9UI32 Q12765
Q12894 Q5BJE1
P10415 Q7Z434
Q8NEF9 Q15697
Q5JPI9 Q8N5U0
Q9BUI4 Q86TM6
B1APH4 Q8NG66
P41236 Q8TC84
P0C866 P56192
Q52LJ0 Q86UP8
P43686 P15289
P14555 P52657
Q99742 Q96MA6
P18031 Q08623
P54756 Q6UX06
Q4KMP7 Q9BV20
P45973 Q9BWX1
P37235 P53672
Q08426 Q6ZU80
O94925 O00264
Q9Y2Y0 O95639
Q5JPI9 P19622
Q658T7 P63130
