O95476 Q8N9A8
Q0VAQ4 O43765
Q9NP91 P60370
P30260 Q9UI95
Q969X6 Q8TED0
O00422 Q14498
P09913 O14879
Q5T700 P53801
Q16630 O43809
Q14103 O60506
O76003 P60410
P61328 P38432
P38159 P0DJD3
Q9UMX2 Q96A70
P52597 Q08117
P32121 P19338
P09958 O14793
P26022 P09038
Q01196 Q13951
Q13895 Q6P1W5
P50552 Q13296
O14735 O95197
Q06330 P54253
Q96BT7 Q9UI30
Q13426 Q9H9Q4
A1A5C7 P60410
Q9UMX0 Q8TD06
Q9BXS4 Q676U5
P61326 O94829
Q8N9W6 Q8WVV9
Q9UHD9 O95476
Q9BYR0 Q9BYQ4
Q13427 Q15365
P11940 Q86U42
Q92956 O43557
Q9Y5E9 P61978
P43220 Q7Z3S9
P60033 Q14739
P63165 Q9BPY3
Q9UHQ9 Q9UMX0
O60830 O14925
P46098 Q8WXA8
P48546 P01275
P60411 Q9GZM5
O43172 O43447
Q7Z3S9 P48023
P27797 Q03518
O00244 O95749
P11940 Q9BPZ3
P63208 Q8NEZ5
O43765 Q9NVM1
Q7Z3S9 Q9H2X0
Q15223 Q9NQS3
P08138 P05067
Q9H0R8 Q14151
P60410 Q8NEC5
Q9BYR5 O14633
P28300 O95967
Q13309 P38936
P60410 P43220
P04406 P48147
Q9BUN8 Q8TCT9
Q5TA81 P60411
Q9GZM5 Q9BSR8
Q96MX6 Q9H6T3
Q5TA82 P60370
Q14151 Q9GZQ8
A8MQ03 Q9BYQ0
Q7Z3S9 Q9BYQ6
O95967 Q96EQ0
Q7Z417 P28799
P56545 Q96JN0
Q5TA79 P60411
O00757 P09467
P07910 Q96IZ5
P49901 P60410
P60409 Q9NQX5
O95994 Q9UMX0
Q96EY4 P60409
Q9UHI7 P60410
Q5TA79 Q9BYQ4
Q9BQ66 Q5TA81
P60409 Q9UHI7
P60409 Q08E93
P49768 P49755
O95881 O43765
P01037 O43765
P09012 Q8N6R0
Q6L8G9 Q5T5B0
O43597 P14770
P98066 P26022
O96015 P63167
Q9UJX2 Q9BS18
Q12800 P63165
P32121 P35813
Q9ULC4 O43583
P13500 P98066
Q3LI72 Q93062
P25929 P10082
Q9BYQ0 Q5TA76
Q08117 Q96FQ7
Q9H492 Q8IVP5
Q8WZ59 Q07108
P15531 O00746
Q15365 Q15366
Q9GZQ8 O75143
Q96B67 P07550
Q96HA8 Q96GX9
Q93062 Q53HV7
Q6UY14 Q9UHI7
Q9BYQ4 Q7Z3S9
Q9BQ66 O76003
P09758 O95471
P46087 P04733
O15353 Q9NQL9
Q0ZGT2 P51116
Q7Z3S9 P57739
Q8IWT6 Q7L1W4
P05067 P27797
Q8WWY3 P61978
P60410 Q5T7P2
Q9Y6G5 Q9GZQ3
O75381 P50542
Q9NYZ4 P04155
Q9UGL9 Q9BQ66
P28300 Q9UBX5
Q96LZ7 Q96DZ9
Q8N488 P04637
P54253 O43809
Q7Z3S9 Q64LD2
P04637 P30405
P60410 P60411
Q9H4F8 P60410
O95751 Q08117
Q9UMX0 O75084
Q9BXW4 O75323
Q9HCG8 Q14331
Q9H2X0 P60370
Q9BYQ0 Q9BYQ3
P61978 Q96MU7
P41217 Q8TD46
Q9UHX1 P54727
Q8N697 Q8IY34
Q969E8 P60520
Q8N682 Q9H246
Q08334 Q8N6P7
Q8NEC5 Q9BYQ3
Q5T700 A2RU14
P54253 O43251
O43597 Q9BYR0
Q12809 Q03135
Q9Y3D6 Q9HC29
P13501 P51681
P57060 P60409
Q52LG2 Q07627
P60410 P26371
Q96SI1 Q7Z3S9
Q15836 O43915
Q9ULW2 A8MQ03
P04637 Q13547
P00492 Q9NRG1
Q13283 Q8WWM7
Q8WW34 Q96HA8
O14732 P29218
Q8TCT0 Q7Z3S9
Q86V81 Q9UBU9
Q96A70 Q9UMX2
P60411 Q5TZK3
Q8NC44 Q9GZQ8
O15318 Q9H1D9
P08833 P05019
P02511 Q16082
A8MQ03 Q9BYE3
Q9BYQ0 Q6L8G4
P62829 Q9P287
P58062 O15235
Q9NPE3 Q9NX24
P05067 P08138
Q9UHJ9 P60411
Q12797 O43681
Q9H3D4 P35637
Q9BXN2 O60238
Q9Y3C7 O95257
Q08117 Q8WTP8
Q96A73 Q9NUX5
Q14242 P16109
P53634 O76096
Q6UY14 Q5T5A8
Q96CD0 P63208
Q13472 Q9H9A7
Q9BYQ6 Q7Z3S9
Q9UBV7 P60409
Q96JC9 Q12800
P11686 Q9BSE2
P98179 P38159
Q8WWY3 Q9BXJ1
Q14106 P11940
Q13761 P56524
P60410 Q969U6
P26010 P13612
P54253 Q9NWB1
Q13449 Q7Z3B1
Q9NPA0 Q07627
Q9BY76 P05556
O95273 Q5TZK3
Q9H2X0 P60409
Q9HAT0 O75386
Q8NEC5 P60328
Q9UNN8 P25116
Q9NXK8 P63208
O75143 Q9BXW4
Q9Y6Q6 O14788
Q9BQ66 Q5T5B0
Q9BYQ4 Q701N4
A8MQ03 Q9BYR9
Q3LI66 P27918
Q96FJ2 O96015
P59998 Q9BPX5
P60411 Q9Y223
P16860 Q7Z3S9
A8MV65 Q9BYQ4
O76003 Q9BYQ6
P05067 Q15113
P0DJD3 P38159
Q9BSF0 P10644
Q6NUJ2 P26371
O43681 Q7L5D6
Q9BZ11 Q9BRI3
A6ZKI3 Q9UMX0
Q9BXJ1 O43765
P08579 P09661
Q9UMX0 Q9NUQ2
Q6L8G9 Q5TA77
Q9UMX0 Q96DN0
Q5TA78 P60410
Q8N6S5 Q9BZJ8
Q8IZ52 O60260
Q6QNY1 Q6QNY0
P60411 O43609
Q9UK99 P63208
Q8NBZ0 O95379
Q9HBW1 Q9Y2I2
Q8NDT2 Q9UJX2
Q08117 Q8WWY3
Q9UJ90 Q96EQ0
Q93062 Q6ZRY4
Q9UHX1 Q9UHR5
Q9UJX2 Q6BCY4
Q08117 P55081
Q9H2X0 P13497
Q9BRI3 Q9Y6M5
P60411 Q9ULK2
Q08117 P52597
P01282 P32241
Q8TAZ6 P48230
Q92636 P50552
P60410 Q08E93
P08138 P01138
Q96HA8 Q719H9
Q5JTC6 Q9Y297
Q7Z7A3 Q9BTM9
Q9UDY8 Q9H0F6
Q9Y5U5 Q9UNG2
Q14498 P59991
Q9UBV2 Q8IWF2
P60372 Q969P0
P01275 P27487
Q9BYR9 A8MQ03
Q08AM6 O15389
Q08AM6 Q3LI72
Q15077 P60409
Q05519 Q8WXA9
O43597 Q8NEC5
P06748 Q13547
P29558 Q12800
Q96S15 Q9NXC5
P62857 Q7Z3S9
Q5VWX1 Q14011
Q7L273 P63208
Q96HA8 Q8WW34
P32780 P04637
P13497 Q9H2X0
P49407 P06396
Q9BZW8 P09326
Q9BYR5 Q9P1A6
P53801 Q9BXN2
Q9Y3A3 O43815
Q9H1D9 Q12796
Q9Y294 Q13112
Q16851 O76003
P60409 P07510
P30040 Q9UMX0
P51808 P63172
P60409 Q5XG85
P49901 Q9BYQ6
P27449 Q9BZL3
P21145 Q5T700
Q9NZ81 O95379
Q9NZD4 Q5D1E8
Q13347 P55884
Q96DZ9 P30405
Q9UBU9 Q9Y2W1
P60410 Q9BQ66
Q5T700 Q9H1C4
Q13241 P26715
Q96M27 Q15437
Q9NYB0 Q16775
Q8TBK6 Q12800
P10912 P01241
O00622 Q9UHD9
Q04724 Q9HC29
A2RTX5 Q9BW92
P60409 P57060
Q96B86 P12643
Q9BYQ0 P60410
P60409 O75386
O43609 P60410
P09012 Q15415
Q53H80 Q9NZD8
Q9NRR5 Q9Y5P3
Q96GU1 Q9NUX5
P33240 O75177
Q7Z3S9 Q3SY46
O00767 Q86VR2
P57678 Q3LI77
P14618 P49407
P06729 O95400
Q9NYB0 Q9NS86
O00206 Q9Y2C9
P49768 Q92542
P02810 Q8IXL6
O43681 Q12797
Q6UY14 Q9GZQ4
Q9UNE7 P08238
Q96DZ9 P34897
Q9UIV1 P50616
P27658 Q9BYQ4
Q03405 P03950
Q92832 Q6UW56
Q96GN5 Q9ULW3
P54253 Q96I25
Q01196 Q04724
P60411 Q6L8G9
P30511 Q14943
P01282 P27487
Q99467 O95711
P13489 P07998
Q5TA76 Q6L8G9
Q5T7P2 O43609
Q9H0F6 P08648
P07900 Q02790
Q96JN0 P56545
Q96MU7 O75525
P60410 Q9NP91
Q9NWS6 P57081
Q9Y223 Q9BYR3
P52756 O15042
Q5T5B0 Q6L8G9
P62324 Q9UFF9
Q96CW9 Q9HCJ2
O00204 O43704
Q9BYQ2 Q6L8G9
Q13033 O43815
Q15041 Q9H4A6
Q9HC62 P61956
O14558 Q9UJY1
Q9UKJ5 Q7Z3S9
P33240 P53999
P34896 P0DMM9
P60411 Q9BYR5
Q6BCY4 Q9UJX2
P05106 P08514
O95684 P50552
Q16531 Q92466
Q96HA8 Q13867
P49407 P14618
P50616 Q96LI5
P61964 Q9NYB0
P19235 Q8WWM7
Q7Z3S9 P60410
Q9UMX0 P80098
Q14749 Q96HA8
Q06250 Q7Z3S9
P60411 P59990
Q9BYQ2 Q9BYR5
P47224 Q9NYB0
Q9BQ66 O14633
P60411 Q9BRU9
P09012 Q9BU61
Q5TA78 P60328
Q8IUR0 O43617
Q9BQ66 P49901
P26368 Q8N684
Q969U6 Q7Z3S9
Q9BV29 Q9NUX5
Q9Y3R4 Q7Z3S9
Q9Y6A4 Q8N2M8
Q5VWX1 Q8NEC5
P41143 P27824
P56545 Q8IVP5
Q7Z3S9 Q8TCT0
O60603 P61073
Q07654 O43765
O75323 P60520
Q9Y5L2 Q9ULW2
P32246 Q04941
Q92838 Q9UPQ8
P63167 O96015
Q96HA8 Q9H3F6
Q13895 Q96GN5
Q13162 Q15084
P62857 O95273
P02763 P05121
Q9BYQ4 P60412
Q9NQX5 Q7Z3S9
P61978 P98179
